Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.7926871479314375,0.013917151689075346,0.7797182568170626,0.5593972574253016,21.00020787607452,0.6186550216528895
2,1.0032138291683943,0.00815786754995312,0.7600214099629752,0.7603005327780032,20.112114216527125,0.6475461751843177
3,1.0004026803829877,0.007969420093668406,0.39236010013915973,0.38517200206415014,20.93699841834801,0.6668103462460684
4,1.0026995866295043,0.007314689158248669,0.34956817079946556,0.3572208625886451,22.520566771190115,0.6914221092702896
5,1.0052984165261396,0.006667225631100536,0.6602697224711451,0.6622777614816304,22.018863155704405,0.6823791588636265
6,0.9990980339994765,0.007238389002305866,0.199298192441857,0.1966978938462106,22.64362747945807,0.6906794749007363
7,1.0020286197768908,0.0069915349320912945,0.4672438230170642,0.46823263846417257,22.12673000820566,0.6873334000079144
8,1.0021600883100286,0.006576705622780499,0.36255147313030317,0.3636714786124629,21.638493805504112,0.7021035001082975
9,0.9984550485761109,0.006704851641585041,0.3897793572708215,0.38739044355098945,22.43198728516758,0.7007703491278019
10,1.0021092463653665,0.006495474132488317,0.35071276729938766,0.35288655079821757,21.103732320015432,0.675838498566101
11,1.0013550702177854,0.006985836189832404,0.353983119392882,0.35406779071657035,22.868401548023197,0.705326078944911
12,1.0004941786286068,0.0066703244714551675,0.016789350629450975,0.015045115483247261,21.495866274510544,0.7017221852962955
13,1.0,0.0065477377645919215,1.6503384715708995e-12,6.576735145425763e-12,21.211996132231015,0.7074307581232913
14,1.0,0.006688196560175907,1.9322466143530122e-12,3.571771765215315e-12,22.57668213493469,0.7039363639284476
15,1.0,0.006459425040792699,1.999203054917066e-12,3.861492058047945e-12,22.600804542375002,0.7062803738125694
16,1.0,0.006761622706446144,2.0789815592726436e-12,3.2503212074072765e-12,23.181579478264673,0.7100373825002528
17,1.0,0.006531787363158651,1.5613413972716785e-12,2.411084675760667e-12,22.622406828843022,0.7091743421621163
18,1.0,0.006356411385541491,2.0616761519311197e-12,2.806975217338385e-12,22.761627936583402,0.701293043069515
19,1.0,0.006290005694993442,2.8457481580702392e-12,2.114238050803305e-12,23.127860599027233,0.7130412816123468
20,1.0,0.006110904196257395,1.8898906787429185e-12,3.003264319284454e-12,22.810285445701822,0.7130637083669917
21,1.0,0.006464011402428907,2.008135020828292e-12,2.8740188101327226e-12,22.327234343603685,0.700170667810813
22,1.0,0.006176719267948622,3.2557415159365155e-12,3.800887282825434e-12,23.189683206420668,0.7170439696118213
23,1.0,0.0060809298785977585,1.3910024651252473e-12,1.3143991295503588e-12,23.189235851184463,0.7159777617563506
24,1.0,0.006211777821697821,4.1399510467321565e-12,4.1336932140311325e-12,22.84345867987232,0.7108447672056631
25,1.0,0.006037946053534186,1.0681651240895368e-12,1.3253400867054063e-12,22.666622400791596,0.7095909373538636
26,1.0,0.006111252660365986,1.9069045305285267e-12,1.7944946393204347e-12,22.965451213426583,0.7152711711086072
27,1.0,0.006163267246572846,2.532071208866912e-12,3.5765014958895445e-12,22.23486798802447,0.7054140721710277
28,1.0,0.006169556031346987,1.8589666897044636e-12,2.793939429438239e-12,22.902957310294212,0.7096414180986164
29,1.0,0.006225124487266467,3.879781208360701e-12,4.132250245906462e-12,23.230161469104207,0.7110075393929102
30,1.0,0.00600245331474114,2.4528757892664736e-12,3.4663741168054083e-12,22.342332496982344,0.6937347484942679
31,1.0,0.028969071543439202,1.7328735617952283e-12,5.693868465107093e-12,19.940385158077213,0.5738983388674205
32,1.0,0.009410782561553742,1.2826788916749483e-12,8.180059953157373e-12,18.58685476909923,0.6135877763758825
33,1.0,0.007770982727506792,1.1275700551706172e-12,3.1363118090986025e-12,17.18141303316858,0.6583557576773553
34,1.0,0.007755354473460986,1.3431176949050698e-12,8.787113724585452e-13,22.31694960082138,0.6802265321227607
35,1.0,0.00715302956423454,1.6461276556242268e-12,3.1360684263538805e-12,21.3816252458488,0.6797063568027084
36,1.0,0.0069245127462032275,1.3831354530182638e-12,1.4346502756088026e-12,22.631500716061993,0.6881050543169978
37,1.0,0.007000713512668487,1.7215774143872155e-12,1.7150763366171195e-12,21.94987487964101,0.6911096847438764
38,1.0,0.006828605609346671,3.64008542402533e-12,2.1629589031360797e-12,22.2208126181388,0.6893727650431705
39,1.0,0.00657797728344957,2.864970819358976e-12,2.9423913511725733e-12,22.602498018023176,0.6938095450280221
40,1.0,0.0066841022022079855,5.214349023219354e-12,5.363991176608347e-12,22.816872979792663,0.6893438433498946
41,1.0,0.0064640753184019035,3.411201604763098e-12,2.803695912442852e-12,23.036904456940665,0.6975219019661705
42,1.0,0.00657966055913458,1.2871521424944003e-12,1.2608814034669088e-12,22.748198138094203,0.701174936178313
43,1.0,0.006551082276750059,1.0880690665367342e-12,1.20984918763234e-12,22.648435731572295,0.7017251723396287
44,1.0,0.006565585091081957,1.8640411680446923e-12,1.654279858047207e-12,22.914308588526332,0.7032178357024069
45,1.0,0.0063953016441903815,1.5438570607769896e-12,1.5680857248722892e-12,22.833957194651706,0.7015517818225465
46,1.0,0.006357084448440326,8.830465337522385e-12,2.2231894606721668e-12,22.880619079050124,0.7012381495377205
47,1.0,0.006306660500411351,1.5905314935228207e-12,1.6226321688809877e-12,22.785613460983573,0.6987331003904221
48,1.0,0.0063659535780541485,2.454307615727666e-12,2.371448243023884e-12,23.05032049901832,0.7041903083974664
49,1.0,0.0062441295864218505,2.6004487832623178e-12,2.993657246080865e-12,22.599700442585153,0.7035832369369925
50,1.0,0.006203239848444672,1.1082089783834607e-12,8.56619562637951e-13,22.511979550454893,0.7034007633561832
