Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.5448935793872607,0.014130454554438681,0.7553074683799181,0.2570224948748703,20.52246393063244,0.6132199412118123
2,0.045269396179958746,0.009344816991634603,0.9714236801169499,0.008534185795294127,21.287094739632387,0.6573396076884834
3,0.8676152510455928,0.0074502384406455345,0.8642937223459635,0.7279222669082738,22.1313696409233,0.6542801637374671
4,0.13287248184862832,0.007724264647041619,0.9259663266297704,0.04145549957036162,21.592411273672326,0.6778555369698015
5,0.005717069950827893,0.0075021640380107555,0.9951324441397837,0.0007047358571549138,20.600284493285848,0.6865160570736765
6,0.003952173363828477,0.007560795752464999,0.9965863767888353,0.0004510448814387534,21.666571276970895,0.6884569079213605
7,0.06479546516791267,0.007140627666293757,0.9504514015939535,0.005605094396350778,22.13423796125101,0.6710197749538673
8,0.9995222178856814,0.007044584030609951,0.004307094692156345,0.0035849083050839346,22.83955478079564,0.7030383039846706
9,0.9999950127652479,0.006938047094082336,9.81962081083003e-05,9.500638762118667e-05,22.215784242764286,0.6964049926562137
10,1.0000002310323255,0.006959933028904056,1.8481515460428045e-05,1.8654660500589225e-05,22.890755887177086,0.7070689887610591
11,1.000001854070738,0.006783808202190923,2.0335665231164422e-05,2.2096754315288772e-05,22.93601559880804,0.7066801799439488
12,1.0000051215798071,0.006716275557406425,3.8367462755221126e-05,4.1790332522687694e-05,22.270280572443035,0.6983205612811296
13,1.0000019262380682,0.0065834523373037015,9.030898820855977e-06,1.0781832143832593e-05,22.448930336272714,0.7058689934520809
14,1.000000001937378,0.006552847166138442,3.7493794971543596e-06,3.7455400758189023e-06,22.7807850234837,0.7089650859955061
15,0.9999997710261386,0.00625382053134646,6.090702018542235e-06,5.854054359116121e-06,22.102424947439584,0.700465303816851
16,0.999998234564305,0.0062929340106103555,6.207136233187522e-06,4.51155447018891e-06,22.242607051193488,0.7064116125393786
17,1.0000001742429332,0.006498399367030954,6.434870101945689e-06,6.5880780291906895e-06,21.984584889672508,0.7062872115157472
18,1.0000003768200194,0.006551528449556726,1.7635926193838587e-05,1.6495714933019406e-05,23.18877700188931,0.7150191495326523
19,0.9999988385116224,0.006393263254119788,1.063270909137487e-05,9.806640555981337e-06,22.125789788421603,0.7095909981390981
20,0.999998371119182,0.006401483985037747,7.177229273452848e-06,5.65577938833423e-06,22.887582154611515,0.712190105474316
21,0.999998517542578,0.0062494551334407135,2.1382537681426905e-05,2.018533663548623e-05,23.00688315612608,0.7113724135244601
22,0.9999960138447821,0.006182100147778928,0.0002125793444484746,0.00021657510649392551,23.079024986134495,0.7178665157984573
23,0.9896161077953705,0.005885275530143097,0.29834665184620146,0.289748422612061,23.25199096015428,0.7159784114439516
24,0.996671947868661,0.005568236401356632,0.6074032926389927,0.6026681807514614,23.228547507178536,0.7137033359207678
25,1.0006570181548746,0.005624169900960399,0.4758344949835627,0.4816390550215272,22.91886334232195,0.7199838945501161
26,1.0006555297642326,0.005340887391594475,0.9445186085117354,0.9455047552206602,23.253013478789086,0.7172291620907413
27,1.0,0.00506953206320079,1.0,1.0,10.07275056432087,0.5196159070158077
28,1.0,0.0468332737612355,1.0,1.0,19.779814859265635,0.5368530766545606
29,1.0,0.00941483781816331,1.0,1.0,21.311553042013905,0.6263138793972678
30,1.0,0.007129443239906889,1.0,1.0,18.516106866017182,0.638512993536969
31,1.0,0.006945162132730515,1.0,1.0,21.61154475133431,0.681820850768266
32,1.0,0.006239463250238378,1.0,1.0,22.837897154764065,0.6889914643982451
33,1.0,0.005718473221826684,1.0,1.0,22.83674378528566,0.6937629630445769
34,1.0,0.005800038493825373,1.0,1.0,21.479629039613776,0.6932124176747064
35,1.0,0.005656489487165096,1.0,1.0,22.85635312922016,0.6997498356188052
36,1.0,0.005617025550956227,1.0,1.0,21.01297151239163,0.6966437621883114
37,1.0,0.005719730062452804,1.0,1.0,22.406008886117203,0.6997809737633182
38,1.0,0.005526784426921013,1.0,1.0,21.88933459199766,0.6854471216927088
39,1.0,0.005549914894153498,1.0,1.0,22.867790761262363,0.6950574157775629
40,1.0,0.005681425528132549,1.0,1.0,22.906576618896178,0.7025226769318975
41,1.0,0.005465142129470607,1.0,1.0,22.702936709560618,0.7017207703897952
42,1.0,0.005542161327811812,1.0,1.0,22.863101893398827,0.7005494281445257
43,1.0,0.005525366619793124,1.0,1.0,23.05455811126466,0.7010251589842167
44,1.0,0.00522273270188135,1.0,1.0,23.072711578985565,0.705381836728919
45,1.0,0.005275148553551454,1.0,1.0,23.089846461368232,0.7065563347056288
46,1.0,0.0053304332644768995,1.0,1.0,22.891304539092218,0.7055606305629484
47,1.0,0.0054388899070439214,1.0,1.0,14.411393146071186,0.5871089803894017
48,1.0,0.005846982491200288,1.0,1.0,22.08567862473785,0.6743345737396732
49,1.0,0.005339014996410763,1.0,1.0,22.50465978008643,0.7072401585737541
50,1.0,0.005693725364896672,1.0,1.0,23.107135325480606,0.7063130523844865
